単語,元単語,問題ID,読み方,別解,別表記,意味,追記,典拠,典拠リンク,レベル,画像,切り抜き画像,Tags
肆,,Lv04_0001,し,,,数の名。『四』の大字と呼ばれる表記。『壱、弐、参、肆、伍、陸、漆…』と続く。,,,,04,"<img src=""Lv04_0001.png"">","<img src=""Lv04_0001_cropped.png"">",漢字でGO!-04
北叟笑む,,Lv04_0002,ほくそえむ,,,うまくいったことに満足して、一人ひそかに笑う。,,,,04,"<img src=""Lv04_0002.png"">","<img src=""Lv04_0002_cropped.png"">",漢字でGO!-04
端境期,,Lv04_0003,はざかいき,,,季節性のある商品において、古品から新品に切り替える直前の時期。,,,,04,"<img src=""Lv04_0003.png"">","<img src=""Lv04_0003_cropped.png"">",漢字でGO!-04
膵臓,,Lv04_0004,すいぞう,,,膵液と呼ばれる消化酵素を含む液体を分泌し、それを消化管に送り込む器官。,,,,04,"<img src=""Lv04_0004.png"">","<img src=""Lv04_0004_cropped.png"">",漢字でGO!-04
柵,,Lv04_0005,しがらみ,,,引き留め、まとわりつくもの。,,,,04,"<img src=""Lv04_0005.png"">","<img src=""Lv04_0005_cropped.png"">",漢字でGO!-04
煙管,,Lv04_0006,きせる,,,日本の刻みたばこ用の喫煙具。,,,,04,"<img src=""Lv04_0006.png"">","<img src=""Lv04_0006_cropped.png"">",漢字でGO!-04
金打,,Lv04_0007,きんちょう,,,堅い約束をすること。武士同士が刀の鍔を打ち合わせたことから。,,,,04,"<img src=""Lv04_0007.png"">","<img src=""Lv04_0007_cropped.png"">",漢字でGO!-04
掌,,Lv04_0008,たなごころ,,,てのひら。手の裏。たなうら。,,,,04,"<img src=""Lv04_0008.png"">","<img src=""Lv04_0008_cropped.png"">",漢字でGO!-04
算える,,Lv04_0009,かぞえる,,,数量や順番を調べる。,,,,04,"<img src=""Lv04_0009.png"">","<img src=""Lv04_0009_cropped.png"">",漢字でGO!-04
参差錯落,,Lv04_0010,しんしさくらく,,,長いものや短いものが入り混じり、不揃いである様子。,,,,04,"<img src=""Lv04_0010.png"">","<img src=""Lv04_0010_cropped.png"">",漢字でGO!-04
